tracking_timestamp_us,left_yaw_rads_cpf,right_yaw_rads_cpf,pitch_rads_cpf,depth_m,left_yaw_low_rads_cpf,right_yaw_low_rads_cpf,pitch_low_rads_cpf,left_yaw_high_rads_cpf,right_yaw_high_rads_cpf,pitch_high_rads_cpf,tx_left_eye_cpf,ty_left_eye_cpf,tz_left_eye_cpf,tx_right_eye_cpf,ty_right_eye_cpf,tz_right_eye_cpf,session_uid
515244425,-0.1116156056523323,-0.17178533971309662,-0.2552328109741211,1.070242005847435,-0.13680130243301392,-0.19377939403057096,-0.29104599356651306,-0.08695127815008162,-0.1495378166437149,-0.20314611494541168,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515344409,-0.06769192218780518,-0.1061014086008072,-0.2849004566669464,1.70194984843746,-0.10202683508396147,-0.12754371762275696,-0.3220910429954529,-0.038693368434906006,-0.0843149721622467,-0.22010236978530884,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515444393,-0.04644803702831268,-0.06703226268291472,-0.29103991389274597,3.1892801198265177,-0.07594746351242065,-0.08812455832958221,-0.3267523646354675,-0.020121578127145767,-0.04533529281616211,-0.2306324392557144,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515544377,-0.08239536732435226,-0.10286541283130646,-0.32378530502319336,3.230924568535222,-0.11224927008152008,-0.12482540309429167,-0.360662043094635,-0.05476511269807816,-0.08043317496776581,-0.26319611072540283,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515644361,-0.0927942395210266,-0.11036355793476103,-0.3205583095550537,3.756770519033173,-0.12018181383609773,-0.13272090256214142,-0.3567236065864563,-0.06708133220672607,-0.08757458627223969,-0.2624213993549347,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515744345,-0.06370635330677032,-0.04554372653365135,-0.392171710729599,3.7471143843870176,-0.0942966490983963,-0.06964787095785141,-0.4298974871635437,-0.03631380572915077,-0.0209076926112175,-0.32414180040359497,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515844329,-0.0937829688191414,-0.08536969125270844,-0.4054341018199921,4.0,-0.12074390053749084,-0.10981282591819763,-0.44204121828079224,-0.06836330890655518,-0.05919937789440155,-0.3407750129699707,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
515944313,-0.05433439835906029,-0.02041524276137352,-0.4216255843639374,2.03377330632403,-0.08616293966770172,-0.04742330312728882,-0.4597501754760742,-0.026129657402634617,0.009640146046876907,-0.3468884527683258,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
516044297,-0.06781011819839478,-0.03506800904870033,-0.41480660438537603,2.0990059579636973,-0.09948904067277907,-0.08583749830722809,-0.4592894315719605,-0.03973738849163055,0.024027816951274872,-0.3135553002357483,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
516144281,-0.13031472265720367,-0.1241990178823471,-0.4257301986217499,4.0,-0.1578470766544342,-0.15135595202445984,-0.4630283713340759,-0.10387245565652847,-0.09053391218185423,-0.3523404598236084,0.0315,0.0,0.0,-0.0315,0.0,0.0,9baef7f9-3d9a-45a1-9fda-3816212a182d
